age,income,credit_sum,loans_count,credit_history,delay_ratio,employment_years,target
54,144048,380949,4,0.805,0.047,4,1
56,68757,229866,1,0.508,0.173,7,1
48,136234,474942,1,0.575,0.171,31,0
21,161538,102187,1,0.36,0.119,9,0
38,227390,291393,1,0.634,0.055,23,0
43,151410,68381,4,0.669,0.056,10,1
65,53755,247850,6,0.426,0.103,2,1
29,247096,10506,3,0.588,0.068,3,0
43,150844,377562,0,0.542,0.1,37,0
35,82469,306394,3,0.559,0.139,22,1
24,192291,57574,5,0.622,0.0,26,1
23,105405,254741,6,0.578,0.047,7,1
36,101961,219823,5,0.479,0.098,19,1
22,212267,340087,2,0.625,0.21,26,0
21,218881,254424,5,0.667,0.159,31,1
36,138122,234898,0,0.417,0.1,26,0
28,102658,417215,3,0.5,0.128,23,1
46,217869,264344,4,0.235,0.093,24,1
18,55727,408966,0,0.588,0.175,14,0
33,190591,443817,0,0.683,0.13,27,0
41,152251,425650,6,0.461,0.19,11,1
68,215703,478217,1,0.52,0.005,28,0
50,113833,351957,1,0.467,0.044,18,0
63,210526,285262,4,0.442,0.119,23,1
35,18569,269972,2,0.535,0.135,19,1
41,193192,110205,7,0.382,0.268,22,1
39,31412,415660,7,0.465,0.0,28,1
64,165964,349704,6,0.364,0.098,11,1
67,60890,437908,2,0.588,0.095,18,1
68,241415,353728,7,0.536,0.117,16,1
57,195792,245437,2,0.435,0.221,0,1
44,39584,154667,1,0.506,0.161,34,1
46,224629,492974,7,0.467,0.0,27,1
68,74206,369470,5,0.672,0.207,1,1
32,143225,438660,0,0.434,0.205,2,0
36,35039,296654,7,0.595,0.118,37,1
64,39807,260130,1,0.394,0.0,33,1
38,71708,26809,5,0.622,0.089,29,1
30,140588,43950,3,0.656,0.133,28,1
47,142580,356313,0,0.663,0.17,33,0
34,216067,120001,6,0.721,0.0,23,1
64,53807,50181,5,0.544,0.046,0,1
65,191127,390435,7,0.686,0.177,18,1
33,16381,314059,4,0.744,0.205,13,1
45,83408,64465,6,0.332,0.13,6,1
69,56127,254934,7,0.41,0.18,34,1
56,44114,240202,7,0.276,0.132,26,1
29,152363,11819,4,0.659,0.167,36,1
48,226660,306377,0,0.274,0.11,4,0
50,171739,204377,2,0.233,0.134,39,1
51,215710,440389,4,0.335,0.014,24,1
19,153989,66705,0,0.239,0.151,22,0
33,27623,425085,0,0.541,0.012,7,0
62,96307,13146,3,0.337,0.15,24,1
30,208563,384496,7,0.246,0.069,23,1
33,25389,393468,2,0.494,0.126,28,1
34,37844,209770,7,0.503,0.033,6,1
27,210943,147470,6,0.22,0.065,25,1
26,29871,79702,2,0.393,0.126,3,1
36,240469,176569,1,0.489,0.153,2,0
63,193271,338128,6,0.446,0.177,18,1
18,171302,365191,6,0.451,0.019,4,1
32,141032,98831,5,0.677,0.0,28,1
21,35994,15458,7,0.822,0.032,19,1
47,112418,285044,0,0.453,0.025,9,0
31,204822,294584,3,0.302,0.21,10,1
59,227407,490532,4,0.465,0.194,19,1
48,120040,383054,0,0.529,0.03,23,0
58,212236,279651,7,0.492,0.22,31,1
51,197499,299999,4,0.592,0.19,22,1
40,28541,326322,2,0.832,0.0,21,1
62,160741,231349,1,0.243,0.028,24,1
42,159780,342011,0,0.424,0.0,23,0
67,142576,105767,4,0.731,0.094,13,1
69,196482,416890,7,0.422,0.101,8,1
48,224032,432222,0,0.618,0.101,21,0
53,144365,223140,3,0.595,0.0,4,1
31,90291,233770,5,0.686,0.0,9,1
60,246006,253779,3,0.787,0.118,5,0
52,241452,410511,5,0.55,0.144,19,1
64,176221,96226,5,0.238,0.0,38,1
31,165549,177346,7,0.395,0.01,35,1
58,39473,311193,4,0.828,0.172,3,1
42,109379,349772,5,0.288,0.014,32,1
27,61600,154921,2,0.575,0.099,6,1
26,136000,67416,1,0.123,0.008,36,1
47,209167,258736,0,0.297,0.158,8,0
34,67764,322891,0,0.633,0.0,5,0
23,249237,385613,6,0.505,0.079,31,1
40,45439,11455,0,0.444,0.166,33,1
51,38109,18609,3,0.378,0.143,15,1
34,244000,199385,4,0.201,0.068,21,1
67,38577,286318,5,0.604,0.051,31,1
58,187768,11747,0,0.458,0.084,34,0
44,194395,94988,6,0.272,0.01,16,1
66,92575,215264,3,0.505,0.093,31,1
40,30123,146897,0,0.587,0.094,31,0
25,87493,358166,1,0.47,0.071,31,1
19,31111,27009,6,0.517,0.17,35,1
66,172976,445287,7,0.506,0.025,33,1
67,223871,93036,6,0.394,0.0,17,1
56,249314,225913,2,0.508,0.063,12,0
23,203105,493448,7,0.61,0.109,39,1
33,197038,334704,2,0.655,0.093,17,0
20,222167,499276,1,0.619,0.089,37,0
20,195920,19635,6,0.399,0.021,39,1
30,167870,362725,2,0.595,0.031,0,0
47,249119,47092,4,0.57,0.066,5,1
21,90796,309809,5,0.394,0.06,22,1
69,111998,169715,1,0.43,0.177,3,1
41,227983,390733,7,0.602,0.118,26,1
31,88090,70932,1,0.707,0.063,0,0
44,85200,449311,7,0.228,0.177,33,1
59,50739,245572,2,0.746,0.131,17,1
34,79745,264459,3,0.675,0.005,26,1
20,154506,289843,2,0.53,0.0,18,1
20,223304,27289,4,0.464,0.007,27,1
62,47021,162101,0,0.559,0.142,27,0
23,174993,357603,1,0.404,0.162,11,0
51,195089,480805,4,0.473,0.0,32,1
37,225482,492455,5,0.279,0.146,32,1
58,191261,272493,7,0.239,0.143,12,1
21,51636,136445,6,0.85,0.198,2,1
64,129894,244010,7,0.509,0.167,17,1
54,238789,237098,6,0.531,0.195,26,1
41,228476,204647,6,0.495,0.134,31,1
28,158994,187024,2,0.376,0.132,8,1
68,241349,435482,7,0.454,0.076,19,1
33,171988,201329,7,0.514,0.157,30,1
43,30249,24336,4,0.471,0.007,21,1
38,229804,363485,0,0.387,0.09,31,0
29,54514,335885,0,0.572,0.138,26,0
39,104476,195418,3,0.528,0.199,6,1
25,70953,318696,5,0.559,0.067,8,1
18,184100,471131,4,0.606,0.168,31,1
33,22046,462965,7,0.474,0.086,28,1
23,165480,396932,4,0.475,0.169,33,1
39,218129,295837,5,0.722,0.044,11,1
62,200121,23547,6,0.358,0.151,2,1
26,87142,260983,7,0.219,0.093,9,1
18,225781,411088,4,0.583,0.017,17,1
23,100079,423998,4,0.406,0.089,4,1
44,174814,388700,0,0.338,0.193,7,0
32,134067,493387,5,0.633,0.029,5,1
43,30895,263081,1,0.478,0.0,5,1
19,15689,63754,2,0.31,0.128,15,1
35,58037,253440,4,0.79,0.0,32,1
39,234643,166169,0,0.258,0.209,15,0
40,239184,419408,5,0.487,0.208,11,1
46,111374,390797,2,0.217,0.173,21,1
58,242632,218144,4,0.541,0.099,25,1
42,26622,200238,2,0.404,0.217,13,1
61,242342,88136,2,0.623,0.194,0,0
45,69265,31151,3,0.497,0.063,11,1
31,23647,163320,0,0.703,0.201,3,0
29,193098,128098,1,0.436,0.036,5,0
34,104875,139949,6,0.259,0.086,24,1
49,83698,499251,0,0.536,0.0,7,0
30,193523,343718,3,0.462,0.11,14,1
65,93269,280181,1,0.227,0.079,15,1
42,191928,97647,4,0.342,0.068,35,1
62,60882,422161,5,0.389,0.088,6,1
53,35188,325938,3,0.733,0.059,3,1
35,91356,262258,6,0.606,0.103,21,1
29,158229,238323,2,0.448,0.19,24,1
56,67869,280758,4,0.571,0.026,20,1
35,48574,421433,2,0.194,0.16,28,1
30,191050,362862,4,0.415,0.115,34,1
66,130904,247649,0,0.56,0.126,24,0
43,116392,337135,2,0.525,0.098,21,1
20,71326,465603,5,0.419,0.05,27,1
43,19158,169858,6,0.494,0.131,8,1
41,27492,451229,2,0.551,0.136,9,1
62,175151,307327,2,0.499,0.044,14,1
55,33804,100790,2,0.629,0.006,30,1
27,73028,483806,2,0.548,0.106,34,1
25,229059,346221,7,0.577,0.153,22,1
49,95834,199108,5,0.757,0.17,24,1
20,189991,115166,3,0.624,0.184,31,1
34,95680,458734,3,0.761,0.126,9,1
25,233978,413419,4,0.399,0.082,4,1
19,208137,31814,4,0.261,0.1,29,1
65,125447,321504,3,0.479,0.013,5,1
22,175836,66162,7,0.466,0.052,6,1
18,112123,154117,2,0.719,0.096,15,1
66,236935,288328,3,0.33,0.081,31,1
27,99225,132070,0,0.488,0.106,15,0
60,211567,261120,3,0.561,0.004,4,1
19,159832,220493,6,0.515,0.019,5,1
25,166266,294934,7,0.474,0.154,10,1
23,97616,402354,3,0.554,0.042,3,1
54,210725,86039,1,0.662,0.053,13,0
50,190374,400119,5,0.73,0.107,3,1
42,206593,118960,5,0.505,0.035,33,1
30,203309,26354,7,0.378,0.177,2,1
22,52037,228746,4,0.73,0.012,7,1
47,220823,158120,0,0.338,0.1,1,0
29,212833,100418,7,0.769,0.048,11,1
48,72058,217196,5,0.702,0.111,32,1
53,245688,435739,6,0.723,0.065,23,1
62,138850,296935,0,0.603,0.098,37,0
43,90649,366639,3,0.183,0.185,24,1
18,67509,83268,3,0.344,0.052,17,1
32,100708,47156,2,0.546,0.051,38,1
62,23825,174288,6,0.399,0.078,7,1
45,177315,389466,1,0.453,0.203,4,0
50,181338,443942,0,0.592,0.094,13,0
41,171927,59855,1,0.475,0.186,37,0
26,144010,243508,7,0.317,0.088,32,1
64,100244,204288,0,0.633,0.183,21,0
58,185122,374630,4,0.577,0.129,37,1
69,219774,110696,1,0.463,0.139,25,0
62,35591,247541,3,0.607,0.0,9,1
33,104976,426408,4,0.514,0.0,0,1
31,248948,237841,0,0.7,0.175,1,0
30,217562,392826,1,0.523,0.174,33,0
65,248671,314743,4,0.699,0.27,12,1
46,58074,302726,0,0.219,0.0,16,1
41,124274,137088,3,0.569,0.134,15,1
68,45633,496319,4,0.44,0.028,3,1
49,218523,132403,1,0.371,0.048,0,0
65,136922,466185,1,0.674,0.065,29,0
69,72238,494783,3,0.633,0.127,27,1
22,36226,260579,5,0.199,0.054,9,1
36,188328,435806,0,0.607,0.102,4,0
56,205783,360394,2,0.589,0.158,20,0
60,221618,371499,7,0.392,0.179,3,1
25,243273,43569,2,0.375,0.148,11,1
34,206446,77200,2,0.261,0.132,28,1
46,199784,44113,5,0.449,0.09,6,1
59,205766,24810,3,0.473,0.06,30,1
23,249694,419628,3,0.62,0.138,35,0
49,123811,95952,6,0.54,0.026,7,1
33,193265,13104,0,0.341,0.108,26,0
29,207697,469488,5,0.536,0.025,30,1
44,42326,146590,3,0.462,0.097,20,1
39,177315,409981,7,0.36,0.026,11,1
51,94625,480656,5,0.262,0.072,39,1
34,46126,266307,7,0.594,0.053,12,1
60,55035,464092,1,0.567,0.044,9,1
22,41833,484702,1,0.584,0.094,4,1
62,225970,80702,7,0.391,0.0,36,1
19,196401,81825,3,0.526,0.0,9,1
56,39004,191269,6,0.294,0.156,5,1
36,161984,283983,5,0.352,0.11,1,1
37,170200,395158,3,0.505,0.049,11,1
18,137053,99778,0,0.539,0.168,26,0
54,157435,104767,0,0.256,0.055,27,0
26,228206,160150,5,0.341,0.059,34,1
52,136930,142983,0,0.445,0.045,26,0
55,170003,470666,0,0.644,0.233,1,0
61,149208,204035,1,0.378,0.116,33,1
54,108094,435456,7,0.521,0.114,10,1
33,224350,37382,5,0.537,0.133,38,1
56,112273,59881,5,0.463,0.0,13,1
60,202988,403770,5,0.54,0.058,0,1
34,157232,132276,4,0.298,0.132,15,1
24,175964,50484,2,0.402,0.1,18,1
64,193664,301308,3,0.715,0.254,32,1
25,187945,82169,4,0.726,0.063,22,1
48,147623,40062,7,0.626,0.166,1,1
30,159638,208997,7,0.665,0.156,1,1
24,134558,279541,5,0.226,0.11,24,1
58,94695,268406,6,0.358,0.123,3,1
25,185821,296400,6,0.453,0.08,21,1
52,221537,21576,5,0.862,0.0,35,1
54,180737,152573,6,0.453,0.124,33,1
21,196459,178296,0,0.612,0.13,25,0
26,210131,153630,0,0.557,0.141,12,0
59,101329,283933,3,0.553,0.104,20,1
44,29699,122248,0,0.496,0.168,4,1
24,94329,319676,2,0.32,0.039,29,1
69,192413,468481,1,0.095,0.203,5,1
31,206694,333768,7,0.692,0.031,2,1
18,135733,200546,5,0.408,0.092,25,1
66,197968,223012,0,0.22,0.148,22,0
18,32552,296781,4,0.566,0.064,21,1
46,166369,364744,5,0.563,0.152,19,1
69,174567,157771,2,0.615,0.076,23,0
48,134342,28822,7,0.667,0.108,17,1
48,183386,354305,7,0.362,0.087,5,1
38,130494,334155,7,0.369,0.06,22,1
24,138052,59706,0,0.452,0.258,1,0
47,156932,317012,3,0.623,0.041,2,1
64,201542,45104,6,0.185,0.0,22,1
22,73445,325116,3,0.519,0.044,28,1
63,85558,374699,3,0.64,0.109,3,1
39,113428,17604,2,0.634,0.074,15,1
45,62448,366067,3,0.606,0.171,37,1
26,93542,69019,5,0.659,0.169,31,1
50,97422,139850,0,0.088,0.078,32,1
27,88845,355373,6,0.742,0.0,26,1
32,111361,183972,5,0.55,0.01,7,1
55,133623,488747,1,0.7,0.098,15,0
20,178544,479057,6,0.324,0.0,23,1
41,86190,493584,4,0.237,0.074,26,1
48,213697,61121,2,0.768,0.199,5,0
24,127665,96381,3,0.361,0.124,38,1
33,184415,99742,4,0.453,0.103,37,1
35,41979,296821,1,0.579,0.027,1,1
52,55887,220718,4,0.616,0.113,23,1
68,121587,375469,5,0.662,0.082,5,1
61,101061,148228,2,0.534,0.117,12,1
27,131588,107880,3,0.342,0.151,35,1
18,52227,328014,4,0.606,0.163,27,1
20,126297,312458,4,0.608,0.109,14,1
48,176380,348394,3,0.228,0.136,0,1
26,186186,162911,7,0.713,0.064,33,1
30,73320,267930,7,0.127,0.179,11,1
62,95941,464892,3,0.655,0.038,24,1
63,138465,309486,5,0.405,0.085,9,1
61,136724,466920,6,0.606,0.187,31,1
31,201080,222376,0,0.577,0.066,13,0
50,106718,31972,4,0.494,0.006,29,1
49,172670,382589,6,0.568,0.071,3,1
27,222682,235623,0,0.487,0.197,24,0
46,85117,30628,2,0.607,0.0,38,1
45,208398,77979,6,0.828,0.107,18,1
38,93223,163316,7,0.299,0.056,18,1
57,93582,103588,7,0.022,0.088,27,1
53,168540,345370,4,0.438,0.076,34,1
45,161119,309468,0,0.427,0.167,32,0
55,144124,171526,0,0.443,0.104,2,0
57,69338,51481,6,0.361,0.171,11,1
47,37652,48482,5,0.631,0.19,33,1
31,228602,473361,1,0.293,0.102,38,0
57,220388,179056,1,0.568,0.075,26,0
55,223367,62573,1,0.596,0.126,0,0
69,135464,358632,7,0.547,0.14,27,1
25,222866,436283,6,0.573,0.019,37,1
39,126239,69772,7,0.642,0.117,32,1
66,32742,473011,0,0.508,0.082,28,0
44,61633,365069,5,0.448,0.071,21,1
67,79061,133499,7,0.573,0.052,36,1
18,103593,389973,4,0.59,0.056,25,1
19,235677,215773,6,0.633,0.188,20,1
59,93213,321297,4,0.243,0.075,35,1
36,158965,72183,0,0.472,0.18,0,0
45,78622,129674,3,0.34,0.109,5,1
40,166169,388979,2,0.584,0.021,33,0
39,148340,404594,0,0.609,0.113,2,0
66,50350,15355,4,0.459,0.017,35,1
22,123634,115076,7,0.391,0.143,39,1
58,39767,307690,0,0.59,0.085,10,0
64,223961,453852,2,0.48,0.16,35,0
52,180470,340406,5,0.714,0.2,21,1
38,236215,356256,2,0.766,0.0,20,0
26,220770,200433,0,0.65,0.068,36,0
53,66576,36812,1,0.535,0.015,31,1
42,181198,385297,0,0.774,0.251,35,0
25,38524,401650,7,0.536,0.069,35,1
36,240740,227216,3,0.428,0.008,29,1
68,199554,258152,7,0.399,0.257,18,1
31,174913,125174,5,0.394,0.049,7,1
27,248792,231797,2,0.499,0.0,3,0
53,214023,128557,7,0.569,0.019,10,1
28,217946,216050,2,0.288,0.11,19,1
65,38529,75682,1,0.433,0.103,5,1
62,20568,307248,6,0.532,0.041,14,1
69,240860,131289,4,0.597,0.066,31,1
65,74046,365043,3,0.496,0.104,0,1
30,115204,263696,4,0.537,0.193,12,1
29,25185,449028,7,0.314,0.123,38,1
35,161420,118373,2,0.363,0.061,12,1
42,207883,143742,7,0.491,0.084,28,1
63,212810,129090,7,0.577,0.154,24,1
56,151630,319080,6,0.535,0.218,31,1
51,170411,62357,1,0.373,0.023,29,0
63,135723,346307,0,0.465,0.178,23,0
51,119844,411331,0,0.727,0.078,38,0
37,145295,340650,5,0.582,0.0,10,1
39,234935,75988,3,0.476,0.0,11,1
44,74326,251570,7,0.346,0.193,23,1
22,125495,271405,0,0.393,0.202,28,0
56,156385,201601,2,0.501,0.06,27,1
51,148984,238499,2,0.541,0.085,38,1
56,22206,383565,7,0.585,0.0,23,1
45,82523,418959,0,0.558,0.153,30,0
58,166812,157004,3,0.444,0.098,5,1
67,178112,171617,6,0.423,0.0,1,1
47,187591,111946,7,0.807,0.114,32,1
41,247971,206871,7,0.417,0.003,17,1
23,173161,277456,5,0.306,0.139,11,1
58,151221,359645,1,0.254,0.024,30,1
65,93047,141129,0,0.447,0.124,15,0
54,102048,116006,3,0.641,0.054,1,1
63,209171,26284,3,0.414,0.0,22,1
62,125145,56006,4,0.722,0.17,5,1
59,183152,35272,0,0.499,0.174,39,0
44,44169,111612,5,0.666,0.063,13,1
23,45149,350555,3,0.386,0.119,12,1
18,65636,389361,0,0.389,0.131,33,1
28,60858,486841,7,0.514,0.133,1,1
40,157642,277096,2,0.572,0.221,27,1
56,164720,232797,1,0.473,0.129,38,0
41,146106,450697,3,0.544,0.075,1,1
19,83012,82059,7,0.588,0.13,38,1
28,150517,318824,6,0.287,0.07,24,1
68,43066,410860,0,0.449,0.025,7,0
69,126116,256250,5,0.422,0.185,34,1
37,51417,138103,5,0.429,0.137,33,1
59,33035,314224,7,0.561,0.0,39,1
55,53920,497856,7,0.424,0.052,36,1
66,41116,125612,5,0.199,0.153,24,1
64,127280,285999,5,0.465,0.0,0,1
50,143268,34874,2,0.34,0.047,29,1
38,157735,123989,7,0.574,0.286,30,1
50,118333,385866,7,0.621,0.077,30,1
34,56454,253042,7,0.174,0.176,7,1
36,19909,107621,7,0.384,0.205,29,1
49,182436,174336,5,0.553,0.036,33,1
47,245946,69268,7,0.289,0.119,2,1
48,81037,391941,6,0.617,0.244,0,1
38,63105,472006,1,0.657,0.132,3,1
39,88216,61849,0,0.476,0.266,27,0
18,65381,126589,7,0.384,0.055,12,1
49,67522,429931,3,0.153,0.226,32,1
47,131215,440547,6,0.622,0.101,38,1
66,199523,385995,2,0.8,0.077,1,0
44,182389,360372,2,0.769,0.145,29,0
42,240556,432068,6,0.471,0.092,30,1
21,98978,193005,4,0.336,0.094,3,1
28,130737,448546,5,0.626,0.134,4,1
35,104372,444440,2,0.481,0.0,32,1
37,24877,122591,4,0.572,0.044,3,1
36,106296,45773,3,0.545,0.151,7,1
38,76233,265292,7,0.514,0.169,36,1
57,127499,381568,3,0.654,0.125,29,1
24,52141,426461,0,0.66,0.119,36,0
35,189288,79804,5,0.422,0.128,10,1
26,213049,194920,7,0.362,0.167,29,1
34,240790,386246,7,0.125,0.0,24,1
53,34940,39599,0,0.448,0.064,35,0
20,42643,364237,7,0.336,0.095,9,1
35,242121,152900,2,0.563,0.114,0,0
19,214331,20998,6,0.45,0.0,15,1
67,153300,128540,5,0.466,0.012,20,1
55,90560,373493,7,0.622,0.099,22,1
30,136668,436330,2,0.56,0.171,34,1
28,140878,49827,4,0.482,0.071,27,1
23,214127,237284,5,0.753,0.053,35,1
42,139408,108575,1,0.611,0.137,29,0
57,21473,344936,6,0.438,0.077,14,1
48,179403,392537,1,0.444,0.162,32,0
63,197630,481438,6,0.618,0.085,12,1
35,85047,183913,1,0.53,0.022,32,0
32,42401,156602,1,0.332,0.199,27,1
42,48418,161819,3,0.634,0.187,8,1
28,212582,382987,1,0.689,0.033,2,0
68,120172,228088,0,0.677,0.128,35,0
27,139356,21154,0,0.731,0.077,31,0
42,240745,474332,2,0.81,0.143,2,0
45,29365,61016,3,0.759,0.039,9,1
20,63395,464806,0,0.551,0.161,19,0
42,210812,89313,1,0.469,0.184,20,0
41,141933,273686,4,0.226,0.034,15,1
31,21418,163084,2,0.502,0.105,7,1
24,180178,346530,6,0.578,0.185,26,1
20,47517,207463,6,0.507,0.03,29,1
18,198803,189997,0,0.217,0.053,25,0
43,202488,243737,7,0.457,0.146,38,1
22,208735,485713,5,0.597,0.089,15,1
67,124244,130212,6,0.346,0.0,21,1
30,77938,117663,3,0.525,0.078,12,1
51,222126,42445,0,0.565,0.222,38,0
53,146310,371938,7,0.668,0.244,16,1
43,164325,341986,4,0.757,0.055,16,1
63,47082,308292,0,0.443,0.036,29,0
23,161529,21594,1,0.528,0.068,11,0
30,151321,397384,1,0.532,0.226,14,0
31,83675,406640,3,0.597,0.159,33,1
25,195210,473054,3,0.581,0.202,0,1
33,46414,465285,3,0.714,0.17,1,1
34,184054,138956,6,0.15,0.008,34,1
57,240875,358080,7,0.563,0.034,11,1
33,148305,207296,5,0.573,0.051,31,1
63,39627,302020,5,0.465,0.063,27,1
58,145027,172922,6,0.16,0.053,7,1
64,139317,331939,2,0.491,0.061,7,1
23,144763,476850,4,0.393,0.145,39,1
69,79053,329588,5,0.752,0.11,35,1
49,162130,461216,2,0.556,0.185,10,1
69,77073,466535,7,0.381,0.118,19,1
36,146098,68250,1,0.192,0.053,34,1
67,154727,482509,0,0.589,0.113,9,0
48,166780,410955,2,0.604,0.0,26,0
21,202514,219088,6,0.468,0.0,14,1
39,222395,304038,2,0.591,0.145,35,0
25,197637,312368,1,0.448,0.171,11,0
66,202029,395328,6,0.66,0.105,17,1
33,219168,403375,1,0.649,0.073,28,0
29,71981,60194,1,0.254,0.006,26,1
46,83832,10508,7,0.291,0.182,4,1
40,140267,130782,2,0.805,0.134,3,0
23,124451,268237,0,0.64,0.12,34,0
60,179999,426105,3,0.311,0.1,30,1
61,17193,329909,5,0.264,0.067,5,1
56,47661,76583,6,0.531,0.022,25,1
50,190511,361430,0,0.329,0.118,11,0
38,208162,239409,2,0.452,0.062,16,0
46,86050,190706,4,0.493,0.07,25,1
45,88070,388111,5,0.486,0.22,25,1
26,146950,154865,4,0.669,0.097,14,1
22,127122,313148,2,0.775,0.0,33,0
31,54785,99249,6,0.428,0.063,20,1
41,132608,196966,0,0.33,0.03,32,0
26,207558,283329,6,0.558,0.09,22,1
23,186442,315472,7,0.745,0.0,14,1
62,207058,460458,5,0.44,0.13,10,1
37,166297,152269,3,0.628,0.079,0,1
48,221201,449029,3,0.374,0.067,21,1
45,73707,410137,3,0.503,0.11,22,1
56,25795,186383,1,0.326,0.095,37,1
56,41799,78641,1,0.502,0.091,10,1
33,248227,136349,5,0.483,0.084,0,1
62,165521,332327,4,0.591,0.099,35,1
37,73228,396508,3,0.767,0.124,23,1
61,215712,310013,3,0.442,0.115,1,1
39,87716,365240,0,0.2,0.179,12,1
23,155360,59828,6,0.47,0.062,38,1
57,73593,257616,7,0.545,0.117,34,1
19,37299,438154,1,0.53,0.271,22,1
58,77870,200624,2,0.476,0.097,3,1
20,68620,450452,5,0.723,0.1,26,1
28,144875,70660,0,0.52,0.012,2,0
49,19862,489581,0,0.484,0.05,15,0
66,71355,394717,7,0.383,0.093,16,1
39,148426,316851,1,0.238,0.137,31,1
24,107536,312557,4,0.549,0.145,26,1
30,164445,468800,7,0.537,0.123,19,1
64,169067,194672,5,0.341,0.156,0,1
55,241863,90818,2,0.493,0.03,0,0
23,211466,460206,1,0.478,0.134,32,0
38,68632,60351,5,0.406,0.101,26,1
31,177794,333239,3,0.381,0.109,13,1
27,162400,140334,7,0.561,0.075,30,1
62,154665,465327,5,0.466,0.033,36,1
50,202760,487097,0,0.411,0.015,0,0
27,49716,242462,2,0.371,0.122,36,1
51,103166,271297,5,0.481,0.135,9,1
39,206787,232762,5,0.639,0.091,30,1
21,224658,218358,5,0.531,0.099,23,1
41,23759,469247,1,0.464,0.05,29,1
27,125795,150681,1,0.546,0.135,4,0
30,77085,480297,1,0.705,0.104,24,0
63,54469,328705,5,0.574,0.074,38,1
54,28408,480775,0,0.539,0.161,31,0
24,141441,309927,6,0.596,0.145,31,1
62,171845,411259,2,0.476,0.0,7,1
47,139846,250087,3,0.528,0.103,11,1
63,101567,236579,1,0.427,0.033,32,1
56,196257,136169,3,0.267,0.11,16,1
35,168231,113046,6,0.551,0.0,22,1
45,228480,28468,1,0.552,0.114,6,0
45,96552,197886,4,0.457,0.15,31,1
55,71157,493992,0,0.655,0.092,17,0
30,122099,469765,1,0.392,0.018,19,1
35,134114,348208,5,0.234,0.237,38,1
30,122620,188141,4,0.395,0.181,25,1
33,210615,264979,4,0.269,0.063,17,1
26,25711,380791,1,0.551,0.082,13,1
19,139025,10985,1,0.387,0.0,24,0
66,116103,462272,3,0.648,0.133,16,1
21,64553,436518,1,0.645,0.004,9,0
64,165650,485492,7,0.361,0.147,14,1
18,203313,56234,2,0.379,0.172,11,1
58,143322,474360,5,0.58,0.095,29,1
35,34963,310614,1,0.647,0.025,20,1
44,32691,281978,5,0.198,0.187,8,1
32,114083,97968,1,0.542,0.1,5,0
43,171993,251021,2,0.17,0.107,37,1
41,88674,188018,3,0.418,0.035,35,1
45,87582,493943,0,0.664,0.114,33,0
38,217125,176458,0,0.951,0.086,29,0
45,18392,116907,6,0.464,0.007,34,1
60,33737,473724,2,0.313,0.194,25,1
40,51564,101889,4,0.423,0.223,36,1
36,246143,453203,5,0.51,0.171,36,1
24,131926,481959,4,0.399,0.161,17,1
36,52197,160604,5,0.361,0.224,9,1
24,87944,347705,7,0.436,0.027,35,1
27,242813,400408,5,0.559,0.026,33,1
67,178180,272788,2,0.475,0.071,17,1
22,67567,351521,2,0.368,0.121,36,1
43,71553,74704,6,0.399,0.08,4,1
61,32614,262854,3,0.438,0.029,32,1
67,196607,261487,4,0.35,0.1,1,1
25,47289,287572,6,0.394,0.093,4,1
26,82322,472668,1,0.597,0.159,2,1
37,96867,414106,1,0.465,0.103,3,1
46,160902,305416,0,0.237,0.0,7,0
67,157485,207633,0,0.654,0.127,14,0
28,202815,208268,4,0.563,0.211,14,1
26,84858,19881,4,0.293,0.102,16,1
31,105605,280040,2,0.445,0.169,39,1
63,106327,133704,1,0.381,0.065,20,1
19,25999,444211,5,0.602,0.14,9,1
37,188329,389073,0,0.444,0.048,5,0
24,140829,457295,5,0.489,0.083,36,1
26,126784,497949,7,0.472,0.083,11,1
65,248921,206043,3,0.278,0.133,32,1
18,57028,219910,3,0.711,0.042,31,1
34,242713,307949,4,0.599,0.0,34,1
65,174887,220951,0,0.388,0.133,5,0
49,66940,146809,5,0.529,0.13,31,1
21,174452,356494,2,0.646,0.108,31,0
42,192588,231031,3,0.508,0.165,38,1
68,100181,471504,0,0.734,0.086,28,0
38,96063,117742,7,0.938,0.12,4,1
45,211268,227458,2,0.481,0.076,18,0
45,52664,270421,0,0.413,0.082,19,0
52,18134,454846,6,0.352,0.124,18,1
27,171489,293337,7,0.168,0.259,13,1
61,228037,43835,4,0.687,0.152,32,1
69,132704,175540,0,0.447,0.138,11,0
25,46719,444184,7,0.631,0.154,17,1
60,141719,143337,1,0.661,0.0,17,0
60,74192,176917,1,0.338,0.122,25,1
56,209437,84002,5,0.36,0.164,19,1
37,158844,362504,2,0.762,0.106,38,0
42,94087,78376,0,0.489,0.097,39,0
61,161770,190225,5,0.401,0.034,18,1
25,171767,358615,2,0.343,0.07,10,1
61,174503,448791,6,0.479,0.042,30,1
65,101054,118602,1,0.726,0.17,36,0
53,149097,172767,7,0.603,0.205,35,1
35,25040,67808,5,0.527,0.235,6,1
47,109833,224560,1,0.738,0.041,2,0
20,103833,499447,4,0.709,0.053,26,1
66,140648,159069,7,0.55,0.048,12,1
35,238258,137359,0,0.916,0.029,12,0
20,239081,205862,6,0.463,0.03,1,1
59,128566,449063,3,0.665,0.064,38,1
52,166843,278056,7,0.441,0.161,0,1
